base,probe,time
7f4c63c4f4c0,7f4c906127c0,254
7f4c63c4f4c0,7f4cc43ab040,262
7f4c63c4f4c0,7f4c83703f80,254
7f4c97d62940,7f4c60ccaa40,264
7f4c97d62940,7f4cbe960500,262
7f4c97d62940,7f4c5b5e2400,262
7f4c97d62940,7f4ca13a02c0,264
7f4c97d62940,7f4c7bb6f600,260
7f4c97d62940,7f4cafd9fa40,262
7f4c97d62940,7f4c6b1bbb40,262
7f4c97d62940,7f4c84cfba00,264
7f4c97d62940,7f4c8d2d1fc0,270
7f4c97d62940,7f4cc271d9c0,264
7f4c97d62940,7f4c519d8000,426
7f4c8c9cd200,7f4c60ccaa40,260
7f4c8c9cd200,7f4cbe960500,260
7f4c8c9cd200,7f4c5b5e2400,260
7f4c8c9cd200,7f4ca13a02c0,264
7f4c8c9cd200,7f4c7bb6f600,268
7f4c8c9cd200,7f4cafd9fa40,260
7f4c8c9cd200,7f4c6b1bbb40,260
7f4c8c9cd200,7f4c84cfba00,264
7f4c8c9cd200,7f4c8d2d1fc0,278
7f4c8c9cd200,7f4cc271d9c0,260
7f4c8c9cd200,7f4c519d8000,266
7f4c8c9cd200,7f4c74d711c0,260
7f4c8c9cd200,7f4cc10caf40,260
7f4c8c9cd200,7f4c7a035640,260
7f4c8c9cd200,7f4c906127c0,260
7f4c8c9cd200,7f4cc43ab040,272
7f4c8c9cd200,7f4c83703f80,264
7f4c8c9cd200,7f4c63c4f4c0,260
7f4c5135b7c0,7f4c60ccaa40,264
7f4c5135b7c0,7f4cbe960500,262
7f4c5135b7c0,7f4c5b5e2400,262
7f4c5135b7c0,7f4ca13a02c0,262
7f4c5135b7c0,7f4c7bb6f600,268
7f4c5135b7c0,7f4cafd9fa40,264
7f4c5135b7c0,7f4c6b1bbb40,264
7f4c5135b7c0,7f4c84cfba00,266
7f4c5135b7c0,7f4c8d2d1fc0,432
7f4cb15773c0,7f4c60ccaa40,264
7f4cb15773c0,7f4cbe960500,262
7f4cb15773c0,7f4c5b5e2400,262
7f4cb15773c0,7f4ca13a02c0,264
7f4cb15773c0,7f4c7bb6f600,260
7f4cb15773c0,7f4cafd9fa40,262
7f4cb15773c0,7f4c6b1bbb40,262
7f4cb15773c0,7f4c84cfba00,264
7f4cb15773c0,7f4c8d2d1fc0,270
7f4cb15773c0,7f4cc271d9c0,260
7f4cb15773c0,7f4c519d8000,274
7f4cb15773c0,7f4c74d711c0,260
7f4cb15773c0,7f4cc10caf40,260
7f4cb15773c0,7f4c7a035640,262
7f4cb15773c0,7f4c906127c0,260
7f4cb15773c0,7f4cc43ab040,280
7f4cb15773c0,7f4c83703f80,264
7f4cb15773c0,7f4c63c4f4c0,262
7f4cb15773c0,7f4c8c9cd200,270
7f4c83e77700,7f4c60ccaa40,262
7f4c83e77700,7f4cbe960500,266
7f4c83e77700,7f4c5b5e2400,260
7f4c83e77700,7f4ca13a02c0,256
7f4c83e77700,7f4c7bb6f600,258
7f4c83e77700,7f4cafd9fa40,260
7f4c83e77700,7f4c6b1bbb40,260
7f4c83e77700,7f4c84cfba00,268
7f4c83e77700,7f4c8d2d1fc0,260
7f4c83e77700,7f4cc271d9c0,260
7f4c83e77700,7f4c519d8000,258
7f4c83e77700,7f4c74d711c0,272
7f4c83e77700,7f4cc10caf40,256
7f4c83e77700,7f4c7a035640,424
7f4c65487bc0,7f4c60ccaa40,258
7f4c65487bc0,7f4cbe960500,260
7f4c65487bc0,7f4c5b5e2400,258
7f4c65487bc0,7f4ca13a02c0,262
7f4c65487bc0,7f4c7bb6f600,260
7f4c65487bc0,7f4cafd9fa40,258
7f4c65487bc0,7f4c6b1bbb40,258
7f4c65487bc0,7f4c84cfba00,262
7f4c65487bc0,7f4c8d2d1fc0,268
7f4c65487bc0,7f4cc271d9c0,258
7f4c65487bc0,7f4c519d8000,426
7f4c8b461680,7f4c60ccaa40,264
7f4c8b461680,7f4cbe960500,266
7f4c8b461680,7f4c5b5e2400,260
7f4c8b461680,7f4ca13a02c0,254
7f4c8b461680,7f4c7bb6f600,252
7f4c8b461680,7f4cafd9fa40,260
7f4c8b461680,7f4c6b1bbb40,260
7f4c8b461680,7f4c84cfba00,268
7f4c8b461680,7f4c8d2d1fc0,260
7f4c8b461680,7f4cc271d9c0,260
7f4c8b461680,7f4c519d8000,258
7f4c8b461680,7f4c74d711c0,272
7f4c8b461680,7f4cc10caf40,252
7f4c8b461680,7f4c7a035640,422
7f4cb8530d40,7f4c60ccaa40,262
7f4cb8530d40,7f4cbe960500,270
7f4cb8530d40,7f4c5b5e2400,282
7f4cb8530d40,7f4ca13a02c0,254
7f4cb8530d40,7f4c7bb6f600,264
7f4cb8530d40,7f4cafd9fa40,252
7f4cb8530d40,7f4c6b1bbb40,412
7f4c4dd71640,7f4c60ccaa40,262
7f4c4dd71640,7f4cbe960500,262
7f4c4dd71640,7f4c5b5e2400,262
7f4c4dd71640,7f4ca13a02c0,264
7f4c4dd71640,7f4c7bb6f600,260
7f4c4dd71640,7f4cafd9fa40,260
7f4c4dd71640,7f4c6b1bbb40,260
7f4c4dd71640,7f4c84cfba00,264
7f4c4dd71640,7f4c8d2d1fc0,270
7f4c4dd71640,7f4cc271d9c0,262
7f4c4dd71640,7f4c519d8000,274
7f4c4dd71640,7f4c74d711c0,262
7f4c4dd71640,7f4cc10caf40,260
7f4c4dd71640,7f4c7a035640,262
7f4c4dd71640,7f4c906127c0,260
7f4c4dd71640,7f4cc43ab040,280
7f4c4dd71640,7f4c83703f80,264
7f4c4dd71640,7f4c63c4f4c0,262
7f4c4dd71640,7f4c8c9cd200,270
7f4c4dd71640,7f4cb15773c0,430
7f4caf1671c0,7f4c60ccaa40,272
7f4caf1671c0,7f4cbe960500,264
7f4caf1671c0,7f4c5b5e2400,260
7f4caf1671c0,7f4ca13a02c0,254
7f4caf1671c0,7f4c7bb6f600,252
7f4caf1671c0,7f4cafd9fa40,260
7f4caf1671c0,7f4c6b1bbb40,260
7f4caf1671c0,7f4c84cfba00,266
7f4caf1671c0,7f4c8d2d1fc0,258
7f4caf1671c0,7f4cc271d9c0,422
7f4c54bd4680,7f4c60ccaa40,264
7f4c54bd4680,7f4cbe960500,266
7f4c54bd4680,7f4c5b5e2400,260
7f4c54bd4680,7f4ca13a02c0,260
7f4c54bd4680,7f4c7bb6f600,260
7f4c54bd4680,7f4cafd9fa40,268
7f4c54bd4680,7f4c6b1bbb40,260
7f4c54bd4680,7f4c84cfba00,272
7f4c54bd4680,7f4c8d2d1fc0,262
7f4c54bd4680,7f4cc271d9c0,260
7f4c54bd4680,7f4c519d8000,262
7f4c54bd4680,7f4c74d711c0,266
7f4c54bd4680,7f4cc10caf40,260
7f4c54bd4680,7f4c7a035640,262
7f4c54bd4680,7f4c906127c0,262
7f4c54bd4680,7f4cc43ab040,264
7f4c54bd4680,7f4c83703f80,262
7f4c54bd4680,7f4c63c4f4c0,266
7f4c54bd4680,7f4c8c9cd200,264
7f4c54bd4680,7f4cb15773c0,262
7f4c8b5b7040,7f4c60ccaa40,264
7f4c8b5b7040,7f4cbe960500,266
7f4c8b5b7040,7f4c5b5e2400,260
7f4c8b5b7040,7f4ca13a02c0,262
7f4c8b5b7040,7f4c7bb6f600,260
7f4c8b5b7040,7f4cafd9fa40,268
7f4c8b5b7040,7f4c6b1bbb40,260
7f4c8b5b7040,7f4c84cfba00,270
7f4c8b5b7040,7f4c8d2d1fc0,264
7f4c8b5b7040,7f4cc271d9c0,260
7f4c8b5b7040,7f4c519d8000,260
7f4c8b5b7040,7f4c74d711c0,266
7f4c8b5b7040,7f4cc10caf40,260
7f4c8b5b7040,7f4c7a035640,264
7f4c8b5b7040,7f4c906127c0,262
7f4c8b5b7040,7f4cc43ab040,264
7f4c8b5b7040,7f4c83703f80,260
7f4c8b5b7040,7f4c63c4f4c0,266
7f4c8b5b7040,7f4c8c9cd200,262
7f4c8b5b7040,7f4cb15773c0,264
7f4c8b5b7040,7f4c54bd4680,278
7f4c74f831c0,7f4c60ccaa40,264
7f4c74f831c0,7f4cbe960500,266
7f4c74f831c0,7f4c5b5e2400,260
